"learning/timestep","env.gym_name: Delivery-v0 - _step","env.gym_name: Delivery-v0 - _step__MIN","env.gym_name: Delivery-v0 - _step__MAX","env.gym_name: Delivery-v0 - learning/fsa_reward","env.gym_name: Delivery-v0 - learning/fsa_reward__MIN","env.gym_name: Delivery-v0 - learning/fsa_reward__MAX"
"500","500","500","500","-1001.625","-1003","-1000"
"1000","1000","1000","1000","-1001.75","-1006","-1000"
"1500","1500","1500","1500","-1001","-1005","-1000"
"2000","2000","2000","2000","-1001.4285714285714","-1005","-1000"
"2500","2500","2500","2500","-1000.4285714285714","-1001","-1000"
"3000","3000","3000","3000","-1000","-1000","-1000"
"3500","3500","3500","3500","-1000.1428571428571","-1001","-1000"
"4000","4000","4000","4000","-1000","-1000","-1000"
"4500","4500","4500","4500","-1003.2857142857143","-1007","-1000"
"5000","5000","5000","5000","-1000.5714285714286","-1001","-1000"
"5500","5500","5500","5500","-1000.2857142857143","-1002","-1000"
"6000","6000","6000","6000","-1000.7142857142857","-1004","-1000"
"6500","6500","6500","6500","-1000.2857142857143","-1001","-1000"
"7000","7000","7000","7000","-1001","-1002","-1000"
"7500","7500","7500","7500","-1001.2857142857143","-1003","-1000"
"8000","8000","8000","8000","-1000.5714285714286","-1002","-1000"
"8500","8500","8500","8500","-1000.4285714285714","-1002","-1000"
"9000","9000","9000","9000","-1000.7142857142857","-1002","-1000"
"9500","9500","9500","9500","-1001.5714285714286","-1004","-1001"
"10000","10000","10000","10000","-1000.5714285714286","-1002","-1000"
"10500","10500","10500","10500","-1000.4285714285714","-1001","-1000"
"11000","11000","11000","11000","-1000.2857142857143","-1001","-1000"
"11500","11500","11500","11500","-1000.4285714285714","-1002","-1000"
"12000","12000","12000","12000","-1002.7142857142857","-1004","-1001"
"12500","12500","12500","12500","-887.1428571428571","-1007","-200"
"13000","13000","13000","13000","-886.4285714285714","-1004","-200"
"13500","13500","13500","13500","-886.5714285714286","-1005","-200"
"14000","14000","14000","14000","-887.5714285714286","-1005","-200"
"14500","14500","14500","14500","-886.2857142857143","-1001","-200"
"15000","15000","15000","15000","-886.4285714285714","-1002","-200"
"15500","15500","15500","15500","-772","-1001","-200"
"16000","16000","16000","16000","-771.7142857142857","-1002","-200"
"16500","16500","16500","16500","-771.4285714285714","-1000","-200"
"17000","17000","17000","17000","-771.4285714285714","-1000","-200"
"17500","17500","17500","17500","-771.4285714285714","-1000","-200"
"18000","18000","18000","18000","-772","-1001","-200"
"18500","18500","18500","18500","-772.1428571428571","-1003","-200"
"19000","19000","19000","19000","-772.7142857142857","-1003","-200"
"19500","19500","19500","19500","-771.8571428571429","-1003","-200"
"20000","20000","20000","20000","-772","-1001","-200"
"20500","20500","20500","20500","-428.7142857142857","-1001","-200"
"21000","21000","21000","21000","-428.7142857142857","-1001","-200"
"21500","21500","21500","21500","-314.57142857142856","-1002","-200"
"22000","22000","22000","22000","-200","-200","-200"
"22500","22500","22500","22500","-200","-200","-200"
"23000","23000","23000","23000","-200","-200","-200"
"23500","23500","23500","23500","-200","-200","-200"
"24000","24000","24000","24000","-200","-200","-200"
"24500","24500","24500","24500","-200","-200","-200"
"25000","25000","25000","25000","-200","-200","-200"
"25500","25500","25500","25500","-200","-200","-200"
"26000","26000","26000","26000","-200","-200","-200"
"26500","26500","26500","26500","-200","-200","-200"
"27000","27000","27000","27000","-200","-200","-200"
"27500","27500","27500","27500","-200","-200","-200"
"28000","28000","28000","28000","-200","-200","-200"
"28500","28500","28500","28500","-200","-200","-200"
"29000","29000","29000","29000","-200","-200","-200"
"29500","29500","29500","29500","-200","-200","-200"
"30000","30000","30000","30000","-200","-200","-200"
"30500","30500","30500","30500","-200","-200","-200"
"31000","31000","31000","31000","-177","-200","-62"
"31500","31500","31500","31500","-177","-200","-62"
"32000","32000","32000","32000","-108","-200","-62"
"32500","32500","32500","32500","-108","-200","-62"
"33000","33000","33000","33000","-108","-200","-62"
"33500","33500","33500","33500","-108","-200","-62"
"34000","34000","34000","34000","-108","-200","-62"
"34500","34500","34500","34500","-108","-200","-62"
"35000","35000","35000","35000","-85","-200","-62"
"35500","35500","35500","35500","-62","-62","-62"
"36000","36000","36000","36000","-62","-62","-62"
"36500","36500","36500","36500","-62","-62","-62"
"37000","37000","37000","37000","-62","-62","-62"
"37500","37500","37500","37500","-62","-62","-62"
"38000","38000","38000","38000","-62","-62","-62"
"38500","38500","38500","38500","-62","-62","-62"
"39000","39000","39000","39000","-62","-62","-62"
"39500","39500","39500","39500","-62","-62","-62"
"40000","40000","40000","40000","-62","-62","-62"
"40500","40500","40500","40500","-62","-62","-62"
"41000","41000","41000","41000","-62","-62","-62"
"41500","41500","41500","41500","-62","-62","-62"
"42000","42000","42000","42000","-62","-62","-62"
"42500","42500","42500","42500","-62","-62","-62"
"43000","43000","43000","43000","-62","-62","-62"
"43500","43500","43500","43500","-62","-62","-62"
"44000","44000","44000","44000","-62","-62","-62"
"44500","44500","44500","44500","-62","-62","-62"
"45000","45000","45000","45000","-62","-62","-62"
"45500","45500","45500","45500","-62","-62","-62"
"46000","46000","46000","46000","-62","-62","-62"
"46500","46500","46500","46500","-62","-62","-62"
"47000","47000","47000","47000","-62","-62","-62"
"47500","47500","47500","47500","-62","-62","-62"
"48000","48000","48000","48000","-62","-62","-62"
"48500","48500","48500","48500","-62","-62","-62"
"49000","49000","49000","49000","-62","-62","-62"
"49500","49500","49500","49500","-62","-62","-62"
"50000","50000","50000","50000","-62","-62","-62"
"50500","50500","50500","50500","-62","-62","-62"
"51000","51000","51000","51000","-62","-62","-62"
"51500","51500","51500","51500","-62","-62","-62"
"52000","52000","52000","52000","-62","-62","-62"
"52500","52500","52500","52500","-62","-62","-62"
"53000","53000","53000","53000","-62","-62","-62"
"53500","53500","53500","53500","-62","-62","-62"
"54000","54000","54000","54000","-62","-62","-62"
"54500","54500","54500","54500","-62","-62","-62"
"55000","55000","55000","55000","-62","-62","-62"
"55500","55500","55500","55500","-62","-62","-62"
"56000","56000","56000","56000","-62","-62","-62"
"56500","56500","56500","56500","-62","-62","-62"
"57000","57000","57000","57000","-62","-62","-62"
"57500","57500","57500","57500","-62","-62","-62"
"58000","58000","58000","58000","-62","-62","-62"
"58500","58500","58500","58500","-62","-62","-62"
"59000","59000","59000","59000","-62","-62","-62"
"59500","59500","59500","59500","-62","-62","-62"
"60000","60000","60000","60000","-62","-62","-62"
"60500","60500","60500","60500","-62","-62","-62"
"61000","61000","61000","61000","-62","-62","-62"
"61500","61500","61500","61500","-62","-62","-62"
"62000","62000","62000","62000","-62","-62","-62"
"62500","62500","62500","62500","-62","-62","-62"
"63000","63000","63000","63000","-62","-62","-62"
"63500","63500","63500","63500","-62","-62","-62"
"64000","64000","64000","64000","-62","-62","-62"
"64500","64500","64500","64500","-62","-62","-62"
"65000","65000","65000","65000","-62","-62","-62"
"65500","65500","65500","65500","-62","-62","-62"
"66000","66000","66000","66000","-62","-62","-62"
"66500","66500","66500","66500","-62","-62","-62"
"67000","67000","67000","67000","-62","-62","-62"
"67500","67500","67500","67500","-62","-62","-62"
"68000","68000","68000","68000","-62","-62","-62"
"68500","68500","68500","68500","-62","-62","-62"
"69000","69000","69000","69000","-62","-62","-62"
"69500","69500","69500","69500","-62","-62","-62"
"70000","70000","70000","70000","-62","-62","-62"
"70500","70500","70500","70500","-62","-62","-62"
"71000","71000","71000","71000","-62","-62","-62"
