"global_step","env.gym_name: Delivery-v0 - _step","env.gym_name: Delivery-v0 - _step__MIN","env.gym_name: Delivery-v0 - _step__MAX","env.gym_name: Delivery-v0 - learning/fsa_reward","env.gym_name: Delivery-v0 - learning/fsa_reward__MIN","env.gym_name: Delivery-v0 - learning/fsa_reward__MAX"
"500","1","1","1","-947.0666666666667","-1002","-200"
"1000","2","2","2","-840.5333333333333","-1002","-200"
"1500","3","3","3","-734.4666666666667","-1006","-200"
"2000","4","4","4","-573.4666666666667","-1001","-200"
"2500","5","5","5","-360","-1000","-200"
"3000","6","6","6","-253.33333333333334","-1000","-200"
"3500","7","7","7","-200","-200","-200"
"4000","8","8","8","-200","-200","-200"
"4500","9","9","9","-200","-200","-200"
"5000","10","10","10","-200","-200","-200"
"5500","11","11","11","-200","-200","-200"
"6000","12","12","12","-200","-200","-200"
"6500","13","13","13","-200","-200","-200"
"7000","14","14","14","-200","-200","-200"
"7500","15","15","15","-200","-200","-200"
"8000","16","16","16","-200","-200","-200"
"8500","17","17","17","-200","-200","-200"
"9000","18","18","18","-200","-200","-200"
"9500","19","19","19","-200","-200","-200"
"10000","20","20","20","-200","-200","-200"
"10500","21","21","21","-200","-200","-200"
"11000","22","22","22","-200","-200","-200"
"11500","23","23","23","-200","-200","-200"
"12000","24","24","24","-200","-200","-200"
"12500","25","25","25","-200","-200","-200"
"13000","26","26","26","-200","-200","-200"
"13500","27","27","27","-200","-200","-200"
"14000","28","28","28","-200","-200","-200"
"14500","29","29","29","-200","-200","-200"
"15000","30","30","30","-200","-200","-200"
"15500","31","31","31","-200","-200","-200"
"16000","32","32","32","-200","-200","-200"
"16500","33","33","33","-200","-200","-200"
"17000","34","34","34","-200","-200","-200"
"17500","35","35","35","-200","-200","-200"
"18000","36","36","36","-200","-200","-200"
"18500","37","37","37","-200","-200","-200"
"19000","38","38","38","-200","-200","-200"
"19500","39","39","39","-190.8","-200","-62"
"20000","40","40","40","-200","-200","-200"
"20500","41","41","41","-190.8","-200","-62"
"21000","42","42","42","-190.8","-200","-62"
"21500","43","43","43","-190.8","-200","-62"
"22000","44","44","44","-172.4","-200","-62"
"22500","45","45","45","-154","-200","-62"
"23000","46","46","46","-154","-200","-62"
"23500","47","47","47","-135.6","-200","-62"
"24000","48","48","48","-135.6","-200","-62"
"24500","49","49","49","-117.2","-200","-62"
"25000","50","50","50","-117.2","-200","-62"
"25500","51","51","51","-135.6","-200","-62"
"26000","52","52","52","-126.4","-200","-62"
"26500","53","53","53","-126.4","-200","-62"
"27000","54","54","54","-126.4","-200","-62"
"27500","55","55","55","-126.4","-200","-62"
"28000","56","56","56","-163.2","-200","-62"
"28500","57","57","57","-154","-200","-62"
"29000","58","58","58","-154","-200","-62"
"29500","59","59","59","-144.8","-200","-62"
"30000","60","60","60","-144.8","-200","-62"
"30500","61","61","61","-135.6","-200","-62"
"31000","62","62","62","-108","-200","-62"
"31500","63","63","63","-108","-200","-62"
"32000","64","64","64","-108","-200","-62"
"32500","65","65","65","-108","-200","-62"
"33000","66","66","66","-89.6","-200","-62"
"33500","67","67","67","-117.2","-200","-62"
"34000","68","68","68","-80.4","-200","-62"
"34500","69","69","69","-98.8","-200","-62"
"35000","70","70","70","-117.2","-200","-62"
"35500","71","71","71","-117.2","-200","-62"
"36000","72","72","72","-117.2","-200","-62"
"36500","73","73","73","-117.2","-200","-62"
"37000","74","74","74","-117.2","-200","-62"
"37500","75","75","75","-117.2","-200","-62"
"38000","76","76","76","-117.2","-200","-62"
"38500","77","77","77","-117.2","-200","-62"
"39000","78","78","78","-117.2","-200","-62"
"39500","79","79","79","-117.2","-200","-62"
"40000","80","80","80","-98.8","-200","-62"
"40500","81","81","81","-89.6","-200","-62"
"41000","82","82","82","-89.6","-200","-62"
"41500","83","83","83","-98.8","-200","-62"
"42000","84","84","84","-98.8","-200","-62"
"42500","85","85","85","-80.4","-200","-62"
"43000","86","86","86","-80.4","-200","-62"
"43500","87","87","87","-80.4","-200","-62"
"44000","88","88","88","-80.4","-200","-62"
"44500","89","89","89","-71.2","-200","-62"
"45000","90","90","90","-71.2","-200","-62"
"45500","91","91","91","-71.2","-200","-62"
"46000","92","92","92","-71.2","-200","-62"
"46500","93","93","93","-71.2","-200","-62"
"47000","94","94","94","-71.2","-200","-62"
"47500","95","95","95","-71.2","-200","-62"
"48000","96","96","96","-71.2","-200","-62"
"48500","97","97","97","-89.6","-200","-62"
"49000","98","98","98","-89.6","-200","-62"
"49500","99","99","99","-89.6","-200","-62"
"50000","100","100","100","-89.6","-200","-62"
"50500","101","101","101","-89.6","-200","-62"
"51000","102","102","102","-89.6","-200","-62"
"51500","103","103","103","-89.6","-200","-62"
"52000","104","104","104","-89.6","-200","-62"
"52500","105","105","105","-108","-200","-62"
"53000","106","106","106","-89.6","-200","-62"
"53500","107","107","107","-89.6","-200","-62"
"54000","108","108","108","-89.6","-200","-62"
"54500","109","109","109","-108","-200","-62"
"55000","110","110","110","-89.6","-200","-62"
"55500","111","111","111","-89.6","-200","-62"
"56000","112","112","112","-89.6","-200","-62"
"56500","113","113","113","-89.6","-200","-62"
"57000","114","114","114","-89.6","-200","-62"
"57500","115","115","115","-89.6","-200","-62"
"58000","116","116","116","-71.2","-200","-62"
"58500","117","117","117","-71.2","-200","-62"
"59000","118","118","118","-71.2","-200","-62"
"59500","119","119","119","-71.2","-200","-62"
"60000","120","120","120","-71.2","-200","-62"
"60500","121","121","121","-71.2","-200","-62"
"61000","122","122","122","-71.2","-200","-62"
"61500","123","123","123","-71.2","-200","-62"
"62000","124","124","124","-71.2","-200","-62"
"62500","125","125","125","-71.2","-200","-62"
"63000","126","126","126","-71.2","-200","-62"
"63500","127","127","127","-71.2","-200","-62"
"64000","128","128","128","-71.2","-200","-62"
"64500","129","129","129","-71.2","-200","-62"
"65000","130","130","130","-71.2","-200","-62"
"65500","131","131","131","-71.2","-200","-62"
"66000","132","132","132","-71.2","-200","-62"
"66500","133","133","133","-71.2","-200","-62"
"67000","134","134","134","-71.2","-200","-62"
"67500","135","135","135","-71.2","-200","-62"
"68000","136","136","136","-62","-62","-62"
"68500","137","137","137","-62","-62","-62"
"69000","138","138","138","-62","-62","-62"
"69500","139","139","139","-62","-62","-62"
"70000","140","140","140","-62","-62","-62"
"70500","141","141","141","-62","-62","-62"
"71000","142","142","142","-62","-62","-62"
"71500","143","143","143","-62","-62","-62"
"72000","144","144","144","-62","-62","-62"
"72500","145","145","145","-62","-62","-62"
"73000","146","146","146","-62","-62","-62"
"73500","147","147","147","-62","-62","-62"
"74000","148","148","148","-62","-62","-62"
"74500","149","149","149","-62","-62","-62"
"75000","150","150","150","-62","-62","-62"
"75500","151","151","151","-62","-62","-62"
"76000","152","152","152","-62","-62","-62"
"76500","153","153","153","-62","-62","-62"
"77000","154","154","154","-62","-62","-62"
"77500","155","155","155","-62","-62","-62"
"78000","156","156","156","-62","-62","-62"
"78500","157","157","157","-62","-62","-62"
"79000","158","158","158","-62","-62","-62"
"79500","159","159","159","-62","-62","-62"
"80000","160","160","160","-62","-62","-62"
"80500","161","161","161","-62","-62","-62"
"81000","162","162","162","-62","-62","-62"
"81500","163","163","163","-62","-62","-62"
"82000","164","164","164","-62","-62","-62"
"82500","165","165","165","-62","-62","-62"
"83000","166","166","166","-62","-62","-62"
"83500","167","167","167","-62","-62","-62"
"84000","168","168","168","-62","-62","-62"
"84500","169","169","169","-62","-62","-62"
"85000","170","170","170","-62","-62","-62"
"85500","171","171","171","-62","-62","-62"
"86000","172","172","172","-62","-62","-62"
