"global_step","env.gym_name: Office-v0 - _step","env.gym_name: Office-v0 - _step__MIN","env.gym_name: Office-v0 - _step__MAX","env.gym_name: Office-v0 - learning/fsa_reward","env.gym_name: Office-v0 - learning/fsa_reward__MIN","env.gym_name: Office-v0 - learning/fsa_reward__MAX"
"50","0","0","0","-200","-200","-200"
"100","1","1","1","-200","-200","-200"
"150","2","2","2","-200","-200","-200"
"200","3","3","3","-200","-200","-200"
"250","4","4","4","-200","-200","-200"
"300","5","5","5","-200","-200","-200"
"350","6","6","6","-200","-200","-200"
"400","7","7","7","-200","-200","-200"
"450","8","8","8","-200","-200","-200"
"500","9","9","9","-200","-200","-200"
"550","10","10","10","-200","-200","-200"
"600","11","11","11","-200","-200","-200"
"650","12","12","12","-200","-200","-200"
"700","13","13","13","-200","-200","-200"
"750","14","14","14","-200","-200","-200"
"800","15","15","15","-200","-200","-200"
"850","16","16","16","-200","-200","-200"
"900","17","17","17","-200","-200","-200"
"950","18","18","18","-200","-200","-200"
"1000","19","19","19","-200","-200","-200"
"1050","20","20","20","-200","-200","-200"
"1100","21","21","21","-200","-200","-200"
"1150","22","22","22","-200","-200","-200"
"1200","23","23","23","-200","-200","-200"
"1250","24","24","24","-200","-200","-200"
"1300","25","25","25","-200","-200","-200"
"1350","26","26","26","-200","-200","-200"
"1400","27","27","27","-200","-200","-200"
"1450","28","28","28","-200","-200","-200"
"1500","29","29","29","-200","-200","-200"
"1550","30","30","30","-200","-200","-200"
"1600","31","31","31","-200","-200","-200"
"1650","32","32","32","-200","-200","-200"
"1700","33","33","33","-200","-200","-200"
"1750","34","34","34","-200","-200","-200"
"1800","35","35","35","-200","-200","-200"
"1850","36","36","36","-200","-200","-200"
"1900","37","37","37","-200","-200","-200"
"1950","38","38","38","-200","-200","-200"
"2000","39","39","39","-200","-200","-200"
"2050","40","40","40","-200","-200","-200"
"2100","41","41","41","-200","-200","-200"
"2150","42","42","42","-200","-200","-200"
"2200","43","43","43","-200","-200","-200"
"2250","44","44","44","-200","-200","-200"
"2300","45","45","45","-200","-200","-200"
"2350","46","46","46","-200","-200","-200"
"2400","47","47","47","-200","-200","-200"
"2450","48","48","48","-200","-200","-200"
"2500","49","49","49","-200","-200","-200"
"2550","50","50","50","-200","-200","-200"
"2600","51","51","51","-200","-200","-200"
"2650","52","52","52","-200","-200","-200"
"2700","53","53","53","-200","-200","-200"
"2750","54","54","54","-200","-200","-200"
"2800","55","55","55","-200","-200","-200"
"2850","56","56","56","-200","-200","-200"
"2900","57","57","57","-200","-200","-200"
"2950","58","58","58","-200","-200","-200"
"3000","59","59","59","-200","-200","-200"
"3050","60","60","60","-200","-200","-200"
"3100","61","61","61","-200","-200","-200"
"3150","62","62","62","-200","-200","-200"
"3200","63","63","63","-200","-200","-200"
"3250","64","64","64","-200","-200","-200"
"3300","65","65","65","-200","-200","-200"
"3350","66","66","66","-200","-200","-200"
"3400","67","67","67","-200","-200","-200"
"3450","68","68","68","-200","-200","-200"
"3500","69","69","69","-200","-200","-200"
"3550","70","70","70","-200","-200","-200"
"3600","71","71","71","-200","-200","-200"
"3650","72","72","72","-200","-200","-200"
"3700","73","73","73","-200","-200","-200"
"3750","74","74","74","-200","-200","-200"
"3800","75","75","75","-200","-200","-200"
"3850","76","76","76","-200","-200","-200"
"3900","77","77","77","-200","-200","-200"
"3950","78","78","78","-200","-200","-200"
"4000","79","79","79","-200","-200","-200"
"4050","80","80","80","-200","-200","-200"
"4100","81","81","81","-200","-200","-200"
"4150","82","82","82","-200","-200","-200"
"4200","83","83","83","-200","-200","-200"
"4250","84","84","84","-200","-200","-200"
"4300","85","85","85","-200","-200","-200"
"4350","86","86","86","-200","-200","-200"
"4400","87","87","87","-200","-200","-200"
"4450","88","88","88","-200","-200","-200"
"4500","89","89","89","-200","-200","-200"
"4550","90","90","90","-200","-200","-200"
"4600","91","91","91","-200","-200","-200"
"4650","92","92","92","-200","-200","-200"
"4700","93","93","93","-200","-200","-200"
"4750","94","94","94","-200","-200","-200"
"4800","95","95","95","-200","-200","-200"
"4850","96","96","96","-200","-200","-200"
"4900","97","97","97","-200","-200","-200"
