"Step","Group: sfols - learning/fsa_reward","Group: sfols - learning/fsa_reward__MIN","Group: sfols - learning/fsa_reward__MAX"
"500","-1001","-1006","-1000"
"1000","-1001.4","-1006","-1000"
"1500","-1000.7","-1005","-1000"
"2000","-1002.1","-1005","-1000"
"2500","-1000.6","-1004","-1000"
"3000","-1000.5","-1002","-1000"
"3500","-840.4","-1001","-200"
"4000","-761","-1005","-200"
"4500","-681.1","-1004","-200"
"5000","-520.4","-1002","-200"
"5500","-440.5","-1005","-200"
"6000","-524.8","-1047","-200"
"6500","-440.5","-1003","-200"
"7000","-524.9","-1048","-200"
"7500","-528.5","-1084","-200"
"8000","-529.3","-1090","-200"
"8500","-526.5","-1063","-200"
"9000","-440.3","-1002","-200"
"9500","-525.8","-1055","-200"
"10000","-440.3","-1002","-200"
"10500","-448.3","-1082","-200"
"11000","-352","-1000","-120"
"11500","-344.9","-1002","-47"
"12000","-184.1","-200","-41"
"12500","-200","-200","-200"
"13000","-200","-200","-200"
"13500","-200","-200","-200"
"14000","-200","-200","-200"
"14500","-200","-200","-200"
"15000","-200","-200","-200"
"15500","-200","-200","-200"
"16000","-200","-200","-200"
"16500","-200","-200","-200"
"17000","-200","-200","-200"
"17500","-200","-200","-200"
"18000","-200","-200","-200"
"18500","-200","-200","-200"
"19000","-167.6","-200","-38"
"19500","-135.6","-200","-38"
"20000","-135.2","-200","-38"
"20500","-103.2","-200","-38"
"21000","-71.2","-200","-38"
"21500","-55.4","-200","-38"
"22000","-39.2","-42","-38"
"22500","-39.2","-42","-38"
"23000","-39.2","-42","-38"
"23500","-39.2","-42","-38"
"24000","-39.2","-42","-38"
"24500","-39.2","-42","-38"
"25000","-39.2","-42","-38"
"25500","-39.2","-42","-38"
"26000","-39.2","-42","-38"
"26500","-39.2","-42","-38"
"27000","-39.2","-42","-38"
"27500","-39.2","-42","-38"
"28000","-39.2","-42","-38"
"28500","-39.2","-42","-38"
"29000","-39.2","-42","-38"
"29500","-39.2","-42","-38"
"30000","-39.2","-42","-38"
"30500","-39.2","-42","-38"
"31000","-39.2","-42","-38"
"31500","-39.2","-42","-38"
"32000","-39.2","-42","-38"
"32500","-39.2","-42","-38"
"33000","-38.8","-42","-38"
"33500","-38.8","-42","-38"
"34000","-38","-38","-38"
"34500","-38","-38","-38"
"35000","-38","-38","-38"
"35500","-38","-38","-38"
"36000","-38","-38","-38"
"36500","-38","-38","-38"
"37000","-38","-38","-38"
"37500","-38","-38","-38"
"38000","-38","-38","-38"
"38500","-38","-38","-38"
"39000","-38","-38","-38"
"39500","-38","-38","-38"
"40000","-38","-38","-38"
"40500","-38","-38","-38"
"41000","-38","-38","-38"
"41500","-38","-38","-38"
"42000","-38","-38","-38"
"42500","-38","-38","-38"
"43000","-38","-38","-38"
"43500","-38","-38","-38"
"44000","-38","-38","-38"
"44500","-38","-38","-38"
"45000","-38","-38","-38"
"45500","-38","-38","-38"
"46000","-38","-38","-38"
"46500","-38","-38","-38"
"47000","-38","-38","-38"
"47500","-38","-38","-38"
"48000","-38","-38","-38"
"48500","-38","-38","-38"
"49000","-38","-38","-38"
"49500","-38","-38","-38"
"50000","-38","-38","-38"
"50500","-38","-38","-38"
"51000","-38","-38","-38"
"51500","-38","-38","-38"
"52000","-38","-38","-38"
"52500","-38","-38","-38"
"53000","-38","-38","-38"
"53500","-38","-38","-38"
"54000","-38","-38","-38"
"54500","-38","-38","-38"
"55000","-38","-38","-38"
"55500","-38","-38","-38"
"56000","-38","-38","-38"
"56500","-38","-38","-38"
"57000","-38","-38","-38"
"57500","-38","-38","-38"
"58000","-38","-38","-38"
"58500","-38","-38","-38"
"59000","-38","-38","-38"
"59500","-38","-38","-38"
"60000","-38","-38","-38"
"60500","-38","-38","-38"
"61000","-38","-38","-38"
"61500","-38","-38","-38"
"62000","-38","-38","-38"
"62500","-38","-38","-38"
"63000","-38","-38","-38"
"63500","-38","-38","-38"
"64000","-38","-38","-38"
"64500","-38","-38","-38"
"65000","-38","-38","-38"
"65500","-38","-38","-38"
"66000","-38","-38","-38"
"66500","-38","-38","-38"
"67000","-38","-38","-38"
"67500","-38","-38","-38"
"68000","-38","-38","-38"
"68500","-38","-38","-38"
"69000","-38","-38","-38"
"69500","-38","-38","-38"
"70000","-38","-38","-38"
"70500","-38","-38","-38"
"71000","-38","-38","-38"
"71500","-38","-38","-38"
"72000","-38","-38","-38"
"72500","-38","-38","-38"
"73000","-38","-38","-38"
"73500","-38","-38","-38"
"74000","-38","-38","-38"
"74500","-38","-38","-38"
"75000","-38","-38","-38"
"75500","-38","-38","-38"
"76000","-38","-38","-38"
"76500","-38","-38","-38"
"77000","-38","-38","-38"
"77500","-38","-38","-38"
"78000","-38","-38","-38"
"78500","-38","-38","-38"
"79000","-38","-38","-38"
"79500","-38","-38","-38"
"80000","-38","-38","-38"
"80500","-38","-38","-38"
"81000","-38","-38","-38"
"81500","-38","-38","-38"
"82000","-38","-38","-38"
"82500","-38","-38","-38"
"83000","-38","-38","-38"
"83500","-38","-38","-38"
"84000","-38","-38","-38"
"84500","-38","-38","-38"
"85000","-38","-38","-38"
"85500","-38","-38","-38"
"86000","-38","-38","-38"
"86500","-38","-38","-38"
"87000","-38","-38","-38"
"87500","-38","-38","-38"
"88000","-38","-38","-38"
"88500","-38","-38","-38"
"89000","-38","-38","-38"
"89500","-38","-38","-38"
"90000","-38","-38","-38"
"90500","-38","-38","-38"
"91000","-38","-38","-38"
"91500","-38","-38","-38"
"92000","-38","-38","-38"
"92500","-38","-38","-38"
"93000","-38","-38","-38"
"93500","-38","-38","-38"
"94000","-38","-38","-38"
"94500","-38","-38","-38"
"95000","-38","-38","-38"
"95500","-38","-38","-38"
"96000","-38","-38","-38"
"96500","-38","-38","-38"
"97000","-38","-38","-38"
"97500","-38","-38","-38"
"98000","-38","-38","-38"
"98500","-38","-38","-38"
"99000","-38","-38","-38"
"99500","-38","-38","-38"
"100000","-38","-38","-38"
"100500","-38","-38","-38"
"101000","-38","-38","-38"
"101500","-38","-38","-38"
"102000","-38","-38","-38"
"102500","-38","-38","-38"
"103000","-38","-38","-38"
"103500","-38","-38","-38"
"104000","-38","-38","-38"
