"learning/timestep","env.gym_name: Office-v0 - _step","env.gym_name: Office-v0 - _step__MIN","env.gym_name: Office-v0 - _step__MAX","env.gym_name: Office-v0 - learning/fsa_reward","env.gym_name: Office-v0 - learning/fsa_reward__MIN","env.gym_name: Office-v0 - learning/fsa_reward__MAX"
"500","500","500","500","-177","-200","-104"
"1000","1000","1000","1000","-200","-200","-200"
"1500","1500","1500","1500","-200","-200","-200"
"2000","2000","2000","2000","-200","-200","-200"
"2500","2500","2500","2500","-200","-200","-200"
"3000","3000","3000","3000","-183.42857142857142","-200","-84"
"3500","3500","3500","3500","-200","-200","-200"
"4000","4000","4000","4000","-200","-200","-200"
"4500","4500","4500","4500","-200","-200","-200"
"5000","5000","5000","5000","-188.57142857142858","-200","-120"
"5500","5500","5500","5500","-200","-200","-200"
"6000","6000","6000","6000","-200","-200","-200"
"6500","6500","6500","6500","-200","-200","-200"
"7000","7000","7000","7000","-200","-200","-200"
"7500","7500","7500","7500","-197.14285714285714","-200","-180"
"8000","8000","8000","8000","-200","-200","-200"
"8500","8500","8500","8500","-187","-200","-109"
"9000","9000","9000","9000","-200","-200","-200"
"9500","9500","9500","9500","-200","-200","-200"
"10000","10000","10000","10000","-200","-200","-200"
"10500","10500","10500","10500","-200","-200","-200"
"11000","11000","11000","11000","-200","-200","-200"
"11500","11500","11500","11500","-200","-200","-200"
"12000","12000","12000","12000","-200","-200","-200"
"12500","12500","12500","12500","-200","-200","-200"
"13000","13000","13000","13000","-173.71428571428572","-200","-137"
"13500","13500","13500","13500","-150","-200","-43"
"14000","14000","14000","14000","-186","-200","-102"
"14500","14500","14500","14500","-200","-200","-200"
"15000","15000","15000","15000","-200","-200","-200"
"15500","15500","15500","15500","-200","-200","-200"
"16000","16000","16000","16000","-200","-200","-200"
"16500","16500","16500","16500","-200","-200","-200"
"17000","17000","17000","17000","-200","-200","-200"
"17500","17500","17500","17500","-200","-200","-200"
"18000","18000","18000","18000","-200","-200","-200"
"18500","18500","18500","18500","-200","-200","-200"
"19000","19000","19000","19000","-200","-200","-200"
"19500","19500","19500","19500","-200","-200","-200"
"20000","20000","20000","20000","-200","-200","-200"
"20500","20500","20500","20500","-200","-200","-200"
"21000","21000","21000","21000","-200","-200","-200"
"21500","21500","21500","21500","-200","-200","-200"
"22000","22000","22000","22000","-200","-200","-200"
"22500","22500","22500","22500","-200","-200","-200"
"23000","23000","23000","23000","-200","-200","-200"
"23500","23500","23500","23500","-200","-200","-200"
"24000","24000","24000","24000","-200","-200","-200"
"24500","24500","24500","24500","-200","-200","-200"
"25000","25000","25000","25000","-178.57142857142858","-200","-50"
"25500","25500","25500","25500","-177.28571428571428","-200","-41"
"26000","26000","26000","26000","-196.57142857142858","-200","-188"
"26500","26500","26500","26500","-200","-200","-200"
"27000","27000","27000","27000","-200","-200","-200"
"27500","27500","27500","27500","-177.28571428571428","-200","-41"
"28000","28000","28000","28000","-198.85714285714286","-200","-196"
"28500","28500","28500","28500","-200","-200","-200"
"29000","29000","29000","29000","-190","-200","-165"
"29500","29500","29500","29500","-200","-200","-200"
"30000","30000","30000","30000","-200","-200","-200"
"30500","30500","30500","30500","-200","-200","-200"
"31000","31000","31000","31000","-172.85714285714286","-200","-105"
"31500","31500","31500","31500","-200","-200","-200"
"32000","32000","32000","32000","-155.42857142857142","-200","-44"
"32500","32500","32500","32500","-197.14285714285714","-200","-190"
"33000","33000","33000","33000","-200","-200","-200"
"33500","33500","33500","33500","-161.71428571428572","-200","-66"
"34000","34000","34000","34000","-183.14285714285714","-200","-141"
"34500","34500","34500","34500","-161.42857142857142","-200","-65"
"35000","35000","35000","35000","-200","-200","-200"
"35500","35500","35500","35500","-157.14285714285714","-200","-50"
"36000","36000","36000","36000","-189.14285714285714","-200","-162"
"36500","36500","36500","36500","-141.57142857142858","-200","-39"
"37000","37000","37000","37000","-130.71428571428572","-200","-33"
"37500","37500","37500","37500","-107.28571428571429","-200","-22"
"38000","38000","38000","38000","-105.85714285714286","-200","-22"
"38500","38500","38500","38500","-103.28571428571429","-200","-22"
"39000","39000","39000","39000","-103.28571428571429","-200","-22"
"39500","39500","39500","39500","-103.28571428571429","-200","-22"
"40000","40000","40000","40000","-103.28571428571429","-200","-22"
"40500","40500","40500","40500","-103.28571428571429","-200","-22"
"41000","41000","41000","41000","-103.28571428571429","-200","-22"
"41500","41500","41500","41500","-103.28571428571429","-200","-22"
"42000","42000","42000","42000","-103.28571428571429","-200","-22"
"42500","42500","42500","42500","-103.28571428571429","-200","-22"
"43000","43000","43000","43000","-103.28571428571429","-200","-22"
"43500","43500","43500","43500","-103.28571428571429","-200","-22"
"44000","44000","44000","44000","-103.28571428571429","-200","-22"
"44500","44500","44500","44500","-103.28571428571429","-200","-22"
"45000","45000","45000","45000","-103.28571428571429","-200","-22"
"45500","45500","45500","45500","-103.28571428571429","-200","-22"
"46000","46000","46000","46000","-103.28571428571429","-200","-22"
"46500","46500","46500","46500","-103.28571428571429","-200","-22"
"47000","47000","47000","47000","-103.28571428571429","-200","-22"
"47500","47500","47500","47500","-103.28571428571429","-200","-22"
"48000","48000","48000","48000","-103.28571428571429","-200","-22"
"48500","48500","48500","48500","-77.85714285714286","-200","-22"
"49000","49000","49000","49000","-32.42857142857143","-42","-22"
"49500","49500","49500","49500","-29.285714285714285","-38","-22"
"50000","50000","50000","50000","-31.571428571428573","-38","-22"
"50500","50500","50500","50500","-27","-38","-22"
"51000","51000","51000","51000","-27","-38","-22"
"51500","51500","51500","51500","-27","-38","-22"
"52000","52000","52000","52000","-25.142857142857142","-38","-22"
"52500","52500","52500","52500","-25.142857142857142","-38","-22"
"53000","53000","53000","53000","-25.142857142857142","-38","-22"
"53500","53500","53500","53500","-25.142857142857142","-38","-22"
"54000","54000","54000","54000","-25.142857142857142","-38","-22"
"54500","54500","54500","54500","-25.142857142857142","-38","-22"
"55000","55000","55000","55000","-25.142857142857142","-38","-22"
"55500","55500","55500","55500","-25.142857142857142","-38","-22"
"56000","56000","56000","56000","-25.142857142857142","-38","-22"
"56500","56500","56500","56500","-25.142857142857142","-38","-22"
"57000","57000","57000","57000","-25.142857142857142","-38","-22"
"57500","57500","57500","57500","-25.142857142857142","-38","-22"
"58000","58000","58000","58000","-25.142857142857142","-38","-22"
"58500","58500","58500","58500","-25.142857142857142","-38","-22"
"59000","59000","59000","59000","-25.142857142857142","-38","-22"
"59500","59500","59500","59500","-25.142857142857142","-38","-22"
"60000","60000","60000","60000","-25.142857142857142","-38","-22"
"60500","60500","60500","60500","-25.142857142857142","-38","-22"
"61000","61000","61000","61000","-25.142857142857142","-38","-22"
"61500","61500","61500","61500","-25.142857142857142","-38","-22"
"62000","62000","62000","62000","-25.142857142857142","-38","-22"
"62500","62500","62500","62500","-23.285714285714285","-28","-22"
"63000","63000","63000","63000","-23.285714285714285","-28","-22"
"63500","63500","63500","63500","-23.285714285714285","-28","-22"
"64000","64000","64000","64000","-23.285714285714285","-28","-22"
"64500","64500","64500","64500","-23.285714285714285","-28","-22"
"65000","65000","65000","65000","-23.285714285714285","-28","-22"
"65500","65500","65500","65500","-22.857142857142858","-28","-22"
"66000","66000","66000","66000","-22.857142857142858","-28","-22"
"66500","66500","66500","66500","-22.857142857142858","-28","-22"
"67000","67000","67000","67000","-22.857142857142858","-28","-22"
"67500","67500","67500","67500","-22.857142857142858","-28","-22"
"68000","68000","68000","68000","-22.857142857142858","-28","-22"
"68500","68500","68500","68500","-22.857142857142858","-28","-22"
"69000","69000","69000","69000","-22.857142857142858","-28","-22"
"69500","69500","69500","69500","-22.857142857142858","-28","-22"
"70000","70000","70000","70000","-22.857142857142858","-28","-22"
"70500","70500","70500","70500","-22.857142857142858","-28","-22"
"71000","71000","71000","71000","-22.857142857142858","-28","-22"
"71500","71500","71500","71500","-22.857142857142858","-28","-22"
