"Step","daily-durian-422 - metrics/evaluation/acc_reward","daily-durian-422 - metrics/evaluation/acc_reward__MIN","daily-durian-422 - metrics/evaluation/acc_reward__MAX","wise-fog-421 - metrics/evaluation/acc_reward","wise-fog-421 - metrics/evaluation/acc_reward__MIN","wise-fog-421 - metrics/evaluation/acc_reward__MAX","grateful-dragon-420 - metrics/evaluation/acc_reward","grateful-dragon-420 - metrics/evaluation/acc_reward__MIN","grateful-dragon-420 - metrics/evaluation/acc_reward__MAX","chocolate-vortex-419 - metrics/evaluation/acc_reward","chocolate-vortex-419 - metrics/evaluation/acc_reward__MIN","chocolate-vortex-419 - metrics/evaluation/acc_reward__MAX","gentle-silence-418 - metrics/evaluation/acc_reward","gentle-silence-418 - metrics/evaluation/acc_reward__MIN","gentle-silence-418 - metrics/evaluation/acc_reward__MAX","amber-flower-417 - metrics/evaluation/acc_reward","amber-flower-417 - metrics/evaluation/acc_reward__MIN","amber-flower-417 - metrics/evaluation/acc_reward__MAX","robust-snowball-416 - metrics/evaluation/acc_reward","robust-snowball-416 - metrics/evaluation/acc_reward__MIN","robust-snowball-416 - metrics/evaluation/acc_reward__MAX","misunderstood-frog-415 - metrics/evaluation/acc_reward","misunderstood-frog-415 - metrics/evaluation/acc_reward__MIN","misunderstood-frog-415 - metrics/evaluation/acc_reward__MAX","winter-cloud-414 - metrics/evaluation/acc_reward","winter-cloud-414 - metrics/evaluation/acc_reward__MIN","winter-cloud-414 - metrics/evaluation/acc_reward__MAX","laced-puddle-413 - metrics/evaluation/acc_reward","laced-puddle-413 - metrics/evaluation/acc_reward__MIN","laced-puddle-413 - metrics/evaluation/acc_reward__MAX"
"0","-22","-22","-22","-19","-19","-19","-21","-21","-21","-17","-17","-17","-20","-20","-20","-32","-32","-32","-17","-17","-17","-24","-24","-24","-36","-36","-36","-27","-27","-27"
"1","-17","-17","-17","-24","-24","-24","-19","-19","-19","-22","-22","-22","-23","-23","-23","-25","-25","-25","-24","-24","-24","-17","-17","-17","-18","-18","-18","-19","-19","-19"
"2","-32","-32","-32","-23","-23","-23","-23","-23","-23","-20","-20","-20","-18","-18","-18","-17","-17","-17","-16","-16","-16","-35","-35","-35","-19","-19","-19","-25","-25","-25"
"3","-21","-21","-21","-15","-15","-15","-20","-20","-20","-21","-21","-21","-15","-15","-15","-21","-21","-21","-21","-21","-21","-21","-21","-21","-19","-19","-19","-18","-18","-18"
"4","-21","-21","-21","-19","-19","-19","-20","-20","-20","-29","-29","-29","-15","-15","-15","-27","-27","-27","-19","-19","-19","-22","-22","-22","-24","-24","-24","-22","-22","-22"
"5","-22","-22","-22","-18","-18","-18","-20","-20","-20","-23","-23","-23","-19","-19","-19","-20","-20","-20","-15","-15","-15","-35","-35","-35","-22","-22","-22","-24","-24","-24"
"6","-26","-26","-26","-24","-24","-24","-23","-23","-23","-30","-30","-30","-18","-18","-18","-15","-15","-15","-16","-16","-16","-18","-18","-18","-24","-24","-24","-30","-30","-30"
"7","-16","-16","-16","-22","-22","-22","-23","-23","-23","-24","-24","-24","-19","-19","-19","-21","-21","-21","-17","-17","-17","-19","-19","-19","-19","-19","-19","-19","-19","-19"
"8","-34","-34","-34","-18","-18","-18","-24","-24","-24","-18","-18","-18","-21","-21","-21","-23","-23","-23","-25","-25","-25","-16","-16","-16","-24","-24","-24","-29","-29","-29"
"9","-19","-19","-19","-23","-23","-23","-17","-17","-17","-24","-24","-24","-24","-24","-24","-16","-16","-16","-24","-24","-24","-16","-16","-16","-28","-28","-28","-16","-16","-16"
"10","-27","-27","-27","-24","-24","-24","-21","-21","-21","-20","-20","-20","-17","-17","-17","-21","-21","-21","-18","-18","-18","-26","-26","-26","-19","-19","-19","-23","-23","-23"
