step,mean,std
350,-192.93333333333334,26.89434414754218
650,-199.53333333333333,2.5560386016907737
1600,-200.0,0.0
1650,-200.0,0.0
2200,-200.0,0.0
2400,-200.0,0.0
2550,-200.0,0.0
3150,-200.0,0.0
3550,-200.0,0.0
3750,-200.0,0.0
3850,-200.0,0.0
3950,-200.0,0.0
4200,-200.0,0.0
4450,-200.0,0.0
4900,-200.0,0.0
5200,-200.0,0.0
5400,-200.0,0.0
5450,-200.0,0.0
5800,-200.0,0.0
5850,-200.0,0.0
5900,-200.0,0.0
6000,-200.0,0.0
6100,-200.0,0.0
6150,-200.0,0.0
7150,-200.0,0.0
7500,-200.0,0.0
8050,-200.0,0.0
9550,-200.0,0.0
9600,-200.0,0.0
10000,-200.0,0.0
10450,-200.0,0.0
10800,-200.0,0.0
10900,-200.0,0.0
10950,-200.0,0.0
11800,-200.0,0.0
12800,-200.0,0.0
13050,-200.0,0.0
13100,-200.0,0.0
13300,-200.0,0.0
13350,-200.0,0.0
13500,-200.0,0.0
13700,-200.0,0.0
14050,-200.0,0.0
14400,-200.0,0.0
14600,-200.0,0.0
14800,-200.0,0.0
14850,-200.0,0.0
14950,-200.0,0.0
15250,-188.46666666666667,43.89229241374086
15800,-200.0,0.0
16200,-200.0,0.0
16550,-200.0,0.0
16950,-200.0,0.0
17000,-200.0,0.0
17900,-200.0,0.0
18050,-200.0,0.0
18300,-200.0,0.0
18500,-200.0,0.0
18700,-200.0,0.0
19350,-200.0,0.0
19550,-200.0,0.0
19600,-194.06666666666666,32.498205078639856
19650,-200.0,0.0
19950,-194.06666666666666,32.498205078639856
20200,-200.0,0.0
21000,-194.16666666666666,31.950482521134685
21100,-194.16666666666666,31.950482521134685
21800,-188.23333333333332,44.78121784034427
22000,-188.23333333333332,44.78121784034427
22100,-200.0,0.0
22200,-194.16666666666666,31.950482521134685
22900,-188.36666666666667,44.272263702382936
22950,-194.16666666666666,31.950482521134685
23300,-200.0,0.0
23800,-188.13333333333333,45.16004744303831
24000,-194.06666666666666,32.498205078639856
25250,-194.13333333333333,32.13305670696974
25300,-194.13333333333333,32.13305670696974
25600,-188.2,44.90710718652526
25850,-194.13333333333333,32.13305670696974
26100,-188.2,44.90710718652526
26450,-182.4,53.70519784771365
27400,-188.26666666666668,44.65572005167236
27650,-176.5,60.94132282438745
27750,-188.13333333333333,45.1600474430383
27850,-176.53333333333333,60.858078733447016
28150,-176.53333333333333,60.858078733447016
29050,-170.6,66.87126077203403
29950,-171.86666666666667,64.39090390534307
30100,-171.96666666666667,64.15201952546312
30650,-170.4,67.31992583027036
30900,-164.5,72.21555377407661
31500,-170.6,66.86661968116982
31600,-158.73333333333332,76.08386177757085
31750,-164.6,72.01321717765332
31800,-176.46666666666667,61.02669474307426
32500,-170.53333333333333,67.01864554416713
32600,-164.6,72.01321717765332
32850,-170.53333333333333,67.01864554416713
33400,-158.8,75.96251344101158
33500,-152.96666666666667,79.33407466088484
34300,-158.76666666666668,76.02299258973466
34400,-158.83333333333334,75.89969939213259
35050,-158.83333333333334,75.89969939213259
35700,-158.76666666666668,76.02299258973466
35850,-154.26666666666668,77.47966733650006
36250,-164.6,72.01321717765332
36700,-158.73333333333332,76.08386177757085
37050,-158.73333333333332,76.08386177757085
37100,-158.93333333333334,75.71540786726138
37400,-164.66666666666666,71.87744998323154
37550,-170.66666666666666,66.71624593203943
38150,-164.76666666666668,71.6763238615015
38250,-152.96666666666667,79.344505636576
38750,-152.7,79.79117140688412
38950,-146.63333333333333,82.92517746421326
39200,-146.63333333333333,82.92517746421326
39950,-146.6,82.97594167318455
40150,-140.76666666666668,85.20995705672664
40450,-134.9,87.0304544398109
40850,-140.76666666666668,85.20995705672664
40900,-146.93333333333334,82.44953872995052
41350,-130.43333333333334,86.98064918896235
41450,-130.5,86.89539887029454
41600,-118.8,88.60582996309145
41700,-112.76666666666667,88.87600169990164
42050,-117.7,89.4921109988723
42150,-117.43333333333334,89.785446686986
42300,-117.33333333333333,89.89355135221126
42550,-99.56666666666666,89.34461886168764
42650,-100.86666666666666,88.50199036660462
42800,-95.16666666666667,87.3885825941587
43050,-101.36666666666666,88.03662377917945
43800,-101.0,88.37849637038217
43950,-112.63333333333334,89.18268091234216
44050,-123.36666666666666,89.13704417175927
44400,-123.36666666666666,89.13704417175927
44450,-117.53333333333333,89.67363558783724
44550,-111.7,89.8159612571826
44700,-99.93333333333334,89.00907870523109
44850,-95.03333333333333,87.34098194110702
44900,-89.1,86.00014033669383
45550,-89.1,86.00014033669383
45650,-89.1,86.00014033669383
45850,-89.1,86.00014033669383
46450,-94.0,88.03604277559394
46800,-94.0,88.03604277559394
46900,-94.0,88.03604277559394
47100,-88.16666666666667,86.55557645866587
47500,-88.16666666666667,86.55557645866587
47550,-88.16666666666667,86.55557645866587
47650,-88.16666666666667,86.55557645866587
48200,-88.16666666666667,86.55557645866587
48450,-82.33333333333333,84.63444042319375
48950,-82.33333333333333,84.63444042319375
49150,-82.33333333333333,84.63444042319375
49200,-82.33333333333333,84.63444042319375
49300,-82.33333333333333,84.63444042319375
49400,-82.33333333333333,84.63444042319375
